Text Type,API Name,File Name,Dataset,ai_score,human_score,Error_message
AI,Originality,n/a,scigen,0.998,0.0020000000000000018,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9993,0.0007000000000000339,
AI,Originality,n/a,scigen,0.9996,0.00039999999999995595,
AI,Originality,n/a,scigen,0.7381,0.2619,
AI,Originality,n/a,scigen,0.9995,0.0004999999999999449,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9849,0.015100000000000002,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9959,0.0040999999999999925,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.8441,0.15590000000000004,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9897,0.010299999999999976,
AI,Originality,n/a,scigen,0.9987,0.0012999999999999678,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9681,0.03190000000000004,
AI,Originality,n/a,scigen,0.9994,0.0006000000000000449,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9965,0.0034999999999999476,
AI,Originality,n/a,scigen,0.9983,0.0017000000000000348,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9978,0.0021999999999999797,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,0.9995,0.0004999999999999449,
AI,Originality,n/a,scigen,0.999,0.0010000000000000009,
AI,Originality,n/a,scigen,0.9998,0.00019999999999997797,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9968,0.0031999999999999806,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
AI,Originality,n/a,scigen,1.0,0.0,
AI,Originality,n/a,scigen,0.9976,0.0023999999999999577,
AI,Originality,n/a,scigen,0.9999,9.999999999998899e-05,
